Time,LL_Q,LL_T,LL_C,Regime
115000,     75328145,     75521283,     76518147,xx
125000,     75328145,     75521283,     76518147,xx
135000,     75328145,     75521283,     76518147,xx
225000,    141910377,    153610045,    158806460,xx
235000,    141910377,    153610045,    158806460,xx
245000,    141910377,    153610045,    158806460,xx
335000,    211698175,    229053038,    240874679,xx
345000,    211698175,    229053038,    240874679,xx
355000,    211698175,    229053038,    240874679,xx
445000,    281393725,    312041686,    312267431,xx
455000,    281393725,    312041686,    312267431,xx
465000,    281393725,    312041686,    312267431,xx
555000,    306898047,    393067339,    393617039,xx
565000,    306898047,    393067339,    393617039,xx
575000,    306898047,    393067339,    393617039,xx
665000,    333843982,    466968606,    472995798,xx
675000,    333843982,    466968606,    472995798,xx
685000,    333843982,    466968606,    472995798,xx
775000,    406392453,    514637268,    525004432,xx
785000,    406392453,    514637268,    525004432,xx
795000,    406392453,    514637268,    525004432,xx
885000,    480145106,    596954712,    572910581,xx
895000,    480145106,    596954712,    572910581,xx
905000,    480145106,    596954712,    572910581,xx
995000,    536401019,    672667935,    649823691,xx
1005000,    536401019,    672667935,    649823691,xx
1015000,    536401019,    672667935,    649823691,xx
1105000,    555994387,    708168875,    715295300,xx
1115000,    555994387,    708168875,    715295300,xx
1125000,    555994387,    708168875,    715295300,xx
1215000,    604699118,    792200834,    796296857,xx
1225000,    604699118,    792200834,    796296857,xx
1235000,    604699118,    792200834,    796296857,xx
1325000,    683749195,    842006783,    866152968,xx
1335000,    683749195,    842006783,    866152968,xx
1345000,    683749195,    842006783,    866152968,xx
1435000,    754322200,    921311444,    947966340,xx
1445000,    754322200,    921311444,    947966340,xx
1455000,    754322200,    921311444,    947966340,xx
1545000,    829495396,    974205550,    994669556,xx
1555000,    829495396,    974205550,    994669556,xx
1565000,    829495396,    974205550,    994669556,xx
1655000,    906759742,   1038087873,   1046688538,xx
1665000,    906759742,   1038087873,   1046688538,xx
1675000,    906759742,   1038087873,   1046688538,xx
1765000,    979976080,   1122057690,   1127411782,xx
1775000,    979976080,   1122057690,   1127411782,xx
1785000,    979976080,   1122057690,   1127411782,xx
1875000,   1057704306,   1187690533,   1209707416,xx
1885000,   1057704306,   1187690533,   1209707416,xx
1895000,   1057704306,   1187690533,   1209707416,xx
1985000,   1122766888,   1237435628,   1265183009,xx
1995000,   1122766888,   1237435628,   1265183009,xx
2005000,   1122766888,   1237435628,   1265183009,xx
